PROTECTED,X1,X2,X3,X4,X5,
0,57,81,65,35,73,0
0,84,87,14,72,46,0
0,8,5,92,67,53,0
0,57,40,19,43,10,0
0,80,49,66,58,39,0
0,96,85,67,31,36,0
0,21,17,88,4,70,0
0,71,57,65,24,12,0
0,38,94,15,93,11,0
0,73,97,49,77,9,0
0,81,13,37,73,10,0
0,58,7,36,3,15,0
0,6,21,8,27,50,0
0,50,48,62,19,52,0
0,11,73,69,7,28,0
0,31,39,59,49,21,0
0,81,30,94,60,73,0
0,35,12,68,45,23,0
0,37,33,26,95,11,0
0,98,99,11,58,67,0
0,94,30,42,53,85,0
0,43,82,9,20,97,0
0,64,84,56,89,91,0
0,68,89,96,30,71,0
0,82,10,30,55,3,0
0,57,86,21,29,51,0
0,63,10,81,80,23,0
0,42,27,13,87,56,0
0,21,87,84,10,75,0
0,32,92,29,27,51,0
0,7,95,61,28,63,0
0,21,14,82,24,86,0
0,75,25,23,99,81,0
0,78,23,72,27,33,0
0,40,20,58,37,84,0
0,88,21,64,73,13,0
0,12,79,56,83,1,0
0,33,62,15,80,69,0
0,51,7,8,86,30,0
0,98,50,98,42,73,0
0,50,6,32,11,48,0
0,42,83,18,71,37,0
0,77,51,33,9,59,0
0,49,55,9,77,89,0
0,8,99,37,37,89,0
0,35,24,29,47,11,0
0,42,91,72,22,21,0
0,90,45,41,33,3,0
0,99,74,4,92,11,0
0,67,54,82,70,8,0
0,94,19,33,9,3,0
0,55,22,70,77,46,0
0,99,0,50,74,37,0
0,78,37,17,0,43,0
0,11,37,90,51,21,0
0,56,62,29,35,54,0
0,31,66,53,71,29,0
0,37,22,85,58,23,0
0,52,3,70,85,16,0
0,63,8,74,27,90,0
0,77,84,49,74,39,0
0,83,83,50,9,31,0
0,55,90,1,93,64,0
0,46,53,48,71,48,0
0,15,86,61,70,92,0
0,93,6,18,68,57,0
0,99,96,96,43,32,0
0,11,24,86,84,46,0
0,38,58,54,80,35,0
0,79,63,64,26,57,0
0,18,58,66,67,65,0
0,26,20,50,59,72,0
0,96,80,49,39,14,0
0,31,21,58,28,96,0
0,18,59,22,25,31,0
0,14,40,35,31,95,0
0,55,71,69,29,37,0
0,16,57,91,54,27,0
0,2,92,85,1,5,0
0,37,6,37,71,70,0
0,23,97,0,32,97,0
0,73,82,77,21,62,0
0,19,42,7,42,95,0
0,25,6,28,15,96,0
0,89,72,52,42,80,0
0,89,93,10,84,59,1
0,82,84,35,81,93,0
0,40,34,85,34,93,0
0,68,85,95,90,9,0
0,67,78,88,10,11,0
0,23,62,1,23,45,0
0,37,6,79,45,10,0
0,61,26,78,79,77,0
0,41,92,20,49,8,0
0,48,37,89,92,75,0
0,73,26,47,14,46,0
0,32,23,37,27,51,0
0,87,39,52,15,42,0
0,24,79,38,37,73,0
0,4,94,91,8,85,0
0,65,25,77,91,39,1
0,96,16,17,32,60,0
0,61,34,42,89,50,0
0,15,24,26,95,76,0
0,61,52,50,43,99,0
0,94,90,14,32,63,0
0,74,49,29,74,14,0
0,21,67,85,68,71,0
0,42,22,7,44,61,0
0,60,98,19,97,79,0
0,59,25,87,77,46,0
0,14,34,76,66,17,0
0,53,38,70,75,49,0
0,55,19,97,19,28,0
0,44,49,12,90,88,0
0,44,32,2,53,89,0
0,55,62,58,46,26,0
0,56,65,11,23,97,0
0,39,86,7,48,2,0
0,1,20,85,83,34,0
0,45,6,16,73,55,1
0,42,87,18,22,58,0
0,9,17,72,12,51,0
0,81,51,38,81,86,0
0,24,99,97,59,59,0
0,40,97,18,10,16,0
0,10,49,7,39,3,0
0,65,71,78,64,38,1
0,19,25,90,24,93,0
0,41,52,26,1,14,0
0,72,91,97,43,23,0
0,62,60,88,22,69,0
0,87,45,10,60,71,0
0,40,55,36,98,25,0
0,52,56,3,96,84,0
0,33,0,97,89,64,0
0,54,57,96,0,39,0
0,76,56,92,7,8,0
0,51,20,56,66,28,0
0,5,28,73,31,53,0
0,67,23,32,60,90,0
0,94,10,19,30,88,0
0,42,52,57,28,37,0
0,3,75,10,49,69,1
0,96,0,55,44,57,0
0,49,33,84,47,69,0
0,60,5,28,44,87,0
0,62,71,52,48,95,0
0,66,27,12,90,13,0
0,22,32,29,2,84,0
0,15,81,18,58,48,0
0,72,75,84,75,89,0
0,14,94,3,89,63,0
0,2,1,56,77,60,0
0,47,57,41,11,82,0
0,19,34,39,68,50,0
0,75,63,85,89,75,0
0,48,55,56,48,64,0
0,55,70,60,24,14,0
0,87,88,73,15,61,0
0,14,96,85,55,2,0
0,96,40,31,81,11,0
0,51,29,62,29,87,0
0,73,10,85,74,69,0
0,19,3,68,30,84,0
0,70,82,15,98,87,0
0,5,71,8,64,41,0
0,68,17,89,68,27,0
0,43,77,71,12,53,0
0,19,77,71,43,15,1
0,88,82,27,67,27,0
0,33,86,43,53,87,1
0,41,31,79,95,35,0
0,27,91,97,16,7,1
0,24,72,93,45,82,0
0,93,39,79,81,68,0
0,86,1,63,30,38,1
0,77,53,33,15,75,0
0,6,86,48,74,54,0
0,96,99,74,41,69,0
0,16,62,58,6,51,1
0,60,57,28,6,15,0
0,71,38,50,63,28,0
0,86,89,58,58,38,0
0,5,32,73,72,93,0
0,19,71,31,38,3,0
0,23,78,5,69,95,0
0,84,81,33,18,70,0
0,4,18,78,35,24,0
0,59,70,45,23,60,0
0,58,89,93,92,85,0
0,42,6,94,86,85,0
0,78,98,39,37,17,0
0,94,14,34,96,95,0
0,72,71,39,83,5,0
0,81,88,71,60,73,0
0,20,66,9,23,63,0
0,15,3,6,84,27,0
0,91,19,52,97,21,0
0,44,29,71,21,29,0
0,88,4,28,28,91,0
0,13,2,25,70,62,0
0,30,61,76,28,95,0
0,93,53,4,29,16,0
0,37,6,81,42,63,0
0,28,44,52,71,2,0
0,39,17,39,38,95,0
0,5,15,53,23,57,0
0,19,38,51,73,93,0
0,41,35,12,96,77,0
0,73,90,92,13,29,0
0,42,44,83,51,68,0
0,5,26,83,46,16,0
0,79,22,97,62,44,0
0,67,1,69,4,3,1
0,97,89,62,49,4,0
0,17,82,5,14,13,0
0,50,95,79,32,94,0
0,51,4,17,78,74,1
0,78,76,90,27,50,0
0,20,62,23,84,29,0
0,52,34,13,84,76,1
0,25,18,14,97,23,0
0,35,92,13,52,75,0
0,67,74,14,43,30,0
0,89,72,47,45,56,0
0,11,73,28,77,92,0
0,72,6,19,96,20,0
0,59,38,63,51,34,0
0,95,43,51,78,10,0
0,36,56,78,73,24,0
0,57,68,1,73,96,0
0,35,39,65,61,11,0
0,51,17,6,50,31,0
0,72,79,15,45,69,0
0,22,55,69,66,0,0
0,83,24,14,79,21,1
0,57,99,87,24,18,1
0,95,28,89,41,87,0
0,1,17,20,14,33,1
0,71,52,48,58,33,0
0,43,15,30,45,49,0
0,2,91,14,26,94,0
0,62,0,52,83,63,0
0,67,45,68,47,16,0
0,26,22,97,1,21,1
0,36,10,95,39,16,0
0,77,69,84,89,29,0
0,79,84,1,58,6,0
0,85,37,27,72,78,0
0,97,75,68,41,90,0
0,79,39,8,21,71,1
0,55,16,12,31,0,0
0,64,33,43,55,24,0
0,48,92,77,67,89,0
0,45,55,27,9,61,0
0,89,23,34,5,75,0
0,59,28,68,75,58,1
0,17,42,13,67,15,0
0,62,0,82,62,80,0
0,91,43,1,41,0,0
0,29,34,85,38,45,0
0,14,99,17,78,97,0
0,48,45,70,17,91,0
0,6,46,87,88,63,0
0,15,85,8,22,65,1
0,89,88,26,92,64,0
0,8,31,94,89,37,0
0,85,58,59,58,86,0
0,42,25,68,41,45,0
0,70,15,72,37,91,0
0,79,45,33,34,92,1
0,97,47,94,48,62,0
0,19,81,85,10,47,1
0,77,46,65,55,32,0
0,8,76,35,54,9,0
0,89,15,8,91,85,0
0,9,90,42,64,53,0
0,27,94,56,70,27,0
0,88,84,65,51,1,0
0,59,72,82,40,94,0
0,84,79,22,10,1,0
0,50,68,38,13,65,1
0,6,13,37,68,12,0
0,76,42,25,89,4,0
0,29,84,96,27,38,0
0,22,67,50,13,31,0
0,92,20,27,56,40,0
