X0,X1,X2,X3,Y
2,26,27,41,4,0
81,78,73,54,5,0
0,52,87,37,80,0
45,43,50,5,54,0
44,44,58,26,67,0
19,93,14,24,90,0
8,86,96,44,2,0
90,30,1,70,8,0
37,5,69,38,67,0
8,76,50,70,7,0
76,42,72,96,46,0
67,87,77,70,73,0
40,18,79,87,16,0
69,84,40,67,97,0
99,42,45,39,84,0
52,64,77,4,40,0
31,34,5,22,47,0
43,36,92,95,19,0
33,69,51,59,42,0
89,54,1,25,91,0
24,49,32,67,47,0
15,86,51,30,40,0
61,24,74,9,13,0
76,1,83,6,98,0
8,86,82,3,60,0
72,99,53,33,6,0
95,0,94,80,51,0
96,1,55,45,50,0
66,39,79,32,40,0
87,14,32,11,45,0
71,12,74,94,33,0
4,38,92,16,20,0
4,22,24,57,92,0
35,69,64,83,50,0
75,46,73,41,48,0
47,5,68,17,71,0
89,50,95,70,50,0
25,7,66,57,11,0
7,77,90,97,95,0
59,83,94,31,56,0
92,29,12,46,2,0
26,83,89,45,74,0
71,75,8,5,86,0
14,85,12,6,78,0
86,31,84,98,50,0
97,53,65,19,47,0
6,33,41,81,92,0
42,24,0,29,58,0
36,74,79,12,46,0
47,41,48,76,56,0
76,91,84,34,55,0
86,79,48,51,95,0
24,82,79,12,84,0
54,37,19,68,56,0
41,94,23,79,59,0
44,2,23,75,87,0
49,37,77,78,11,0
50,11,46,17,52,0
69,91,93,69,45,0
68,53,62,83,79,0
37,48,23,90,80,0
53,44,38,51,20,0
30,52,37,49,46,0
38,58,46,67,94,0
17,34,19,7,31,0
27,90,83,81,56,0
56,27,92,99,18,0
7,50,81,71,46,0
96,23,3,85,57,0
79,61,68,28,25,0
94,43,71,18,28,0
70,61,62,41,89,0
29,86,4,58,65,0
44,84,67,97,57,0
85,74,20,81,69,0
36,28,30,84,41,0
3,55,21,71,51,0
67,20,75,85,71,0
85,1,55,13,16,0
84,55,28,11,78,0
27,13,41,2,0,0
19,90,10,89,35,0
95,83,49,26,64,0
36,54,71,61,29,0
91,38,49,8,8,0
60,53,34,29,90,0
51,69,33,31,17,0
42,23,41,57,93,0
21,76,17,4,98,0
51,76,58,82,26,0
21,61,96,18,96,0
98,87,27,5,54,0
30,54,15,80,7,0
83,28,98,82,87,0
69,20,7,70,33,0
84,55,92,20,54,0
75,59,30,96,59,0
35,44,49,81,78,0
86,14,48,4,27,0
33,34,65,22,90,0
19,23,83,44,45,0
9,58,78,44,50,0
2,59,36,20,43,0
86,81,21,42,0,0
29,49,94,60,90,0
34,39,70,43,23,0
82,49,90,3,65,0
42,14,83,64,57,1
72,31,10,97,63,0
5,71,3,69,42,0
68,2,72,43,73,0
70,89,27,42,37,0
75,30,58,23,24,0
69,34,38,3,89,0
70,71,0,41,76,0
43,92,69,25,6,1
23,91,62,7,57,0
80,15,47,99,68,0
76,13,95,84,7,0
40,43,16,90,86,0
92,63,95,39,97,0
28,87,64,71,56,0
50,81,65,88,2,0
88,4,42,70,91,0
18,17,48,49,33,0
86,48,58,47,52,0
45,30,95,62,3,0
80,22,58,20,1,0
72,14,81,38,60,0
65,67,98,92,68,0
6,46,94,77,29,0
75,84,92,21,16,0
27,34,99,16,89,0
82,53,22,70,24,0
93,28,71,40,87,0
65,91,79,18,39,0
73,92,31,39,1,0
52,60,80,37,60,0
55,83,14,1,66,0
78,90,66,72,92,0
95,26,90,21,59,0
36,8,94,78,30,0
91,61,86,17,58,0
78,60,91,55,65,0
55,6,65,99,74,0
10,31,34,28,44,0
70,80,82,32,33,0
91,20,71,40,13,0
78,46,53,13,91,0
31,77,59,70,9,0
46,73,92,21,2,0
